Catalog Nbr,Section,Acad Group,Class Nbr,Subject,Course Title,Component,Days,Time,Location,Instructor,Units,Class Duration
 417,1,Architecture & Urban Planning,20379,Architecture,Construction,Lecture,Tuesday,1-3PM,2104 A&AB,Professor Borum,3.00,Full Term
 417,2,Architecture & Urban Planning,20380,Architecture,Construction,Recitation,Tuesday,3-6PM,3100 A&AB,Professor Borum,3.00,Full Term
 417,3,Architecture & Urban Planning,24910,Architecture,Construction,Recitation,Tuesday,3-6PM,3100 A&AB,Professor Wigger,3.00,Full Term
 417,4,Architecture & Urban Planning,25000,Architecture,Construction,Recitation,Tuesday,3-6PM,3100 A&AB,Professor Rule,3.00,Full Term
 417,5,Architecture & Urban Planning,25001,Architecture,Construction,Recitation,Tuesday,3-6PM,3100 A&AB,not available,3.00,Full Term
 417,6,Architecture & Urban Planning,25002,Architecture,Construction,Recitation,Tuesday,3-6PM,3100 A&AB,not available,3.00,Full Term
 421,1,Architecture & Urban Planning,28518,Architecture,Geometric Modeling,Lecture,Tuesday,4-7PM,2210 A&AB,Professor Meier,3.00,Full Term
 423,1,Architecture & Urban Planning,10029,Architecture,Int U P&Env,Lecture,"Tuesday, Thursday",10-11AM,3600 SKB,Professor Larsen,3.00,Full Term
 423,2,Architecture & Urban Planning,10030,Architecture,Int U P&Env,Discussion,Thursday,12-1PM,1804 SSWB,not available,3.00,Full Term
 423,3,Architecture & Urban Planning,10031,Architecture,Int U P&Env,Discussion,Friday,11-12PM,B834 EQ,not available,3.00,Full Term
 423,4,Architecture & Urban Planning,10032,Architecture,Int U P&Env,Discussion,Thursday,12-1PM,3752 SSWB,not available,3.00,Full Term
 432,1,Architecture & Urban Planning,10033,Architecture,Arch Des III,Lab,"Monday, Wednesday, Friday",1-5PM,3100 A&AB,Professor Comerci,6.00,Full Term
 432,5,Architecture & Urban Planning,24823,Architecture,Arch Des III,Lab,"Monday, Wednesday, Friday",1-5PM,3100 A&AB,not available,6.00,Full Term
 432,6,Architecture & Urban Planning,38601,Architecture,Arch Des III,Lab,"Monday, Wednesday, Friday",1-5PM,3100 A&AB,not available,6.00,Full Term
 466,1,Architecture & Urban Planning,18463,Architecture,Dimensions,Lecture,Monday,7-9PM,to be determined,Professor Unverzagt,1.00,Full Term
 505,1,Architecture & Urban Planning,25917,Architecture,Spec Topics Env Tech,Lecture,Monday,830-1130AM,to be determined,Professor Kim,3.00,Full Term
 505,2,Architecture & Urban Planning,25929,Architecture,Spec Topics Env Tech,Lecture,Wednesday,1-4PM,2213 A&AB,Professor Junghans,3.00,Full Term
 505,3,Architecture & Urban Planning,38240,Architecture,Spec Topics Env Tech,Lecture,Monday,830-1130AM,2213 A&AB,Professor Junghans,3.00,Full Term
 506,1,Architecture & Urban Planning,28491,Architecture,Spec Topics Des Fund,Lecture,Wednesday,630-930PM,2204 A&AB,Professor Groat,3.00,Full Term
 506,2,Architecture & Urban Planning,18508,Architecture,Spec Topics Des Fund,Seminar,Tuesday,1-4PM,2227 A&AB,Professor Groat,3.00,Full Term
 506,3,Architecture & Urban Planning,24422,Architecture,Spec Topics Des Fund,Seminar,Monday,830-1130AM,to be determined,Professor Wilkins,3.00,Full Term
 507,1,Architecture & Urban Planning,36514,Architecture,Spec Topics Constr,Lecture,Monday,6-730PM,to be determined,"Professor Graebner, Professor Hansen",3.00,Full Term
 509,1,Architecture & Urban Planning,28529,Architecture,Experimental Course,Seminar,Tuesday,1-4PM,to be determined,Professor Mascorella,3.00,Full Term
 509,2,Architecture & Urban Planning,16986,Architecture,Experimental Course,Seminar,Tuesday,1-4PM,2210 A&AB,Professor Wilcox,3.00,Full Term
 509,3,Architecture & Urban Planning,19089,Architecture,Experimental Course,Seminar,Tuesday,830-1130AM,REMOTE,Professor Abrons,3.00,Full Term
 509,4,Architecture & Urban Planning,21350,Architecture,Experimental Course,Seminar,Monday,830-1130AM,to be determined,Professor Griffiths,3.00,Full Term
 509,5,Architecture & Urban Planning,19090,Architecture,Experimental Course,Seminar,Wednesday,830-1130AM,to be determined,Professor Miller,3.00,Full Term
 509,6,Architecture & Urban Planning,24424,Architecture,Experimental Course,Seminar,Wednesday,830-1130AM,to be determined,Professor Haar,3.00,Full Term
 509,7,Architecture & Urban Planning,19091,Architecture,Experimental Course,Seminar,Wednesday,6-9PM,2108 A&AB,Professor Nanda,3.00,Full Term
 509,8,Architecture & Urban Planning,31530,Architecture,Experimental Course,Seminar,Tuesday,4-7PM,2108 A&AB,Professor Arquero de Alarcon,3.00,Full Term
 509,9,Architecture & Urban Planning,19092,Architecture,Experimental Course,Seminar,Thursday,7-10PM,G463 MH,Professor Chaffers,3.00,Full Term
 509,10,Architecture & Urban Planning,31320,Architecture,Experimental Course,Seminar,Thursday,830-1130AM,1360 A&AB,Professor Gilpin,3.00,Full Term
 509,12,Architecture & Urban Planning,34335,Architecture,Experimental Course,Seminar,Tuesday,830-1130AM,1360 A&AB,Professor Newell,3.00,Full Term
 509,13,Architecture & Urban Planning,34338,Architecture,Experimental Course,Seminar,Tuesday,830-1130AM,2213 A&AB,Professor Adel,3.00,Full Term
 509,14,Architecture & Urban Planning,26022,Architecture,Experimental Course,Seminar,Monday,830-1130AM,to be determined,Professor McCullough,3.00,Full Term
 509,15,Architecture & Urban Planning,31990,Architecture,Experimental Course,Seminar,Friday,830-1130AM,2222 A&AB,Professor Humphrey,3.00,Full Term
 509,16,Architecture & Urban Planning,26918,Architecture,Experimental Course,Seminar,Thursday,830-1130AM,to be determined,not available,3.00,Full Term
 509,17,Architecture & Urban Planning,30120,Architecture,Experimental Course,Seminar,not available,unknown,to be determined,Professor Sirota,3.00,Full Term
 509,18,Architecture & Urban Planning,34341,Architecture,Experimental Course,Seminar,Tuesday,1-4PM,to be determined,Professor Ahlquist,3.00,Full Term
 509,19,Architecture & Urban Planning,34344,Architecture,Experimental Course,Seminar,Thursday,830-1130AM,to be determined,Professor Jazairy,3.00,Full Term
 515,1,Architecture & Urban Planning,22079,Architecture,Sustainable Systems,Lecture,Friday,830-1030AM,2104 A&AB,Professor Maigret,3.00,Full Term
 515,2,Architecture & Urban Planning,22080,Architecture,Sustainable Systems,Discussion,Friday,1030-1130AM,to be determined,not available,3.00,Full Term
 515,3,Architecture & Urban Planning,22081,Architecture,Sustainable Systems,Discussion,Friday,1030-1130AM,to be determined,not available,3.00,Full Term
 515,4,Architecture & Urban Planning,22082,Architecture,Sustainable Systems,Discussion,Friday,1030-1130AM,to be determined,not available,3.00,Full Term
 515,5,Architecture & Urban Planning,22083,Architecture,Sustainable Systems,Discussion,Friday,1030-1130AM,2108 A&AB,not available,3.00,Full Term
 515,6,Architecture & Urban Planning,22084,Architecture,Sustainable Systems,Discussion,Friday,1030-1130AM,2210 A&AB,not available,3.00,Full Term
 515,7,Architecture & Urban Planning,22085,Architecture,Sustainable Systems,Discussion,Friday,1030-1130AM,2213 A&AB,not available,3.00,Full Term
 515,8,Architecture & Urban Planning,26135,Architecture,Sustainable Systems,Discussion,Friday,1030-1130AM,1360 A&AB,not available,3.00,Full Term
 516,1,Architecture & Urban Planning,15886,Architecture,Arch Representation,Lecture,Wednesday,1-2PM,to be determined,"Professor Moran, Professor Halquist",3.00,Full Term
 516,2,Architecture & Urban Planning,15887,Architecture,Arch Representation,Lab,Wednesday,2-430PM,to be determined,"Professor Moran, Professor Halquist",3.00,Full Term
 516,2,Architecture & Urban Planning,15887,Architecture,Arch Representation,Lab,Wednesday,2-430PM,REMOTE,not available,3.00,Full Term
 516,2,Architecture & Urban Planning,15887,Architecture,Arch Representation,Lab,Wednesday,2-430PM,REMOTE,not available,3.00,Full Term
 516,2,Architecture & Urban Planning,15887,Architecture,Arch Representation,Lab,Wednesday,2-430PM,REMOTE,not available,3.00,Full Term
 517,1,Architecture & Urban Planning,32113,Architecture,Arch Pln DV,Lecture,Tuesday,1-4PM,to be determined,Professor McCullough,3.00,Full Term
 523,1,Architecture & Urban Planning,18389,Architecture,Hist Urban Form,Lecture,"Tuesday, Thursday",830-10AM,2108 A&AB,Professor Mascorella,3.00,Full Term
 527,1,Architecture & Urban Planning,31423,Architecture,Integrative Sys I,Lecture,Thursday,830-1130AM,2104 A&AB,"Professor Chivite Amigo, Professor Junghans",1.50,Partial Term
 537,1,Architecture & Urban Planning,22096,Architecture,Fabrication,Seminar,Wednesday,2-5PM,to be determined,"Professor Ng, Professor O'Geen, Professor Henry",3.00,Full Term
 546,1,Architecture & Urban Planning,38720,Architecture,Outlooks: Dis Crit,Seminar,Wednesday,830-1130AM,to be determined,Professor Mitnick,3.00,Full Term
 552,1,Architecture & Urban Planning,10037,Architecture,Arch Design V,Lab,"Monday, Thursday",1-6PM,3100 A&AB,Professor Morcillo Pallares,6.00,Full Term
 552,8,Architecture & Urban Planning,18614,Architecture,Arch Design V,Lab,"Monday, Thursday",1-6PM,3100 A&AB,Professor Sanchez,6.00,Full Term
 552,9,Architecture & Urban Planning,19088,Architecture,Arch Design V,Lab,"Monday, Thursday",1-6PM,3100 A&AB,Professor Reichert,6.00,Full Term
 552,10,Architecture & Urban Planning,20131,Architecture,Arch Design V,Lab,"Monday, Thursday",1-6PM,3100 A&AB,Professor Penarroyo,6.00,Full Term
 552,11,Architecture & Urban Planning,26087,Architecture,Arch Design V,Lab,"Monday, Thursday",1-6PM,3100 A&AB,Professor Unverzagt,6.00,Full Term
 555,1,Architecture & Urban Planning,27393,Architecture,Bld Sy&Ener Consvtn,Lecture,Wednesday,830-1130AM,2227 A&AB,Professor Navvab,3.00,Full Term
 565,1,Architecture & Urban Planning,27394,Architecture,Res Environ Tech,Lecture,Monday,830-1130AM,2227 A&AB,Professor Navvab,3.00,Full Term
 575,1,Architecture & Urban Planning,25930,Architecture,Building Ecology,Lecture,Wednesday,830-1130AM,to be determined,Professor Kim,3.00,Full Term
 581,1,Architecture & Urban Planning,34230,Architecture,Advanced Robotics,Seminar,"Tuesday, Thursday",830-10AM,2222 A&AB,Professor Mcgee,3.00,Full Term
 583,1,Architecture & Urban Planning,19530,Architecture,Professnl Pract,Lecture,Tuesday,1-4PM,1360 A&AB,Professor McMorrough,3.00,Full Term
 593,1,Architecture & Urban Planning,10043,Architecture,Tutrl Std Arch Hist,Individual Instruction,not available,unknown,to be determined,not available,1.00-3.00,Full Term
 597,1,Architecture & Urban Planning,38779,Architecture,Detailing,Lecture,Tuesday,830-1130AM,to be determined,Professor Kennedy,3.00,Full Term
 600,1,Architecture & Urban Planning,10044,Architecture,Tutor Studies Arch,Individual Instruction,not available,unknown,to be determined,not available,1.00-3.00,Full Term
 603,1,Architecture & Urban Planning,28414,Architecture,Sem Arch History,Seminar,Tuesday,3-6PM,2213 A&AB,Professor Herscher,3.00,Full Term
 603,2,Architecture & Urban Planning,34310,Architecture,Sem Arch History,Seminar,Wednesday,1-4PM,2227 A&AB,Professor Chabanyuk,3.00,Full Term
 603,3,Architecture & Urban Planning,31335,Architecture,Sem Arch History,Seminar,Wednesday,1-4PM,to be determined,Professor Herscher,3.00,Full Term
 603,4,Architecture & Urban Planning,34311,Architecture,Sem Arch History,Seminar,Thursday,830-1130AM,to be determined,Professor Stanek,3.00,Full Term
 603,5,Architecture & Urban Planning,38776,Architecture,Sem Arch History,Seminar,Thursday,830-1130AM,to be determined,Professor McMorrough,3.00,Full Term
 609,1,Architecture & Urban Planning,19706,Architecture,Disability Studies,Seminar,Tuesday,2-4PM,G463 MH,Professor Orr,1.00-3.00,Full Term
 660,1,Architecture & Urban Planning,10045,Architecture,Thesis Res&Dev Sem,Seminar,Friday,1-4PM,2222 A&AB,Professor Sanchez,3.00,Full Term
 660,4,Architecture & Urban Planning,19374,Architecture,Thesis Res&Dev Sem,Seminar,Friday,1-4PM,to be determined,Professor Hwang,3.00,Full Term
 660,5,Architecture & Urban Planning,19520,Architecture,Thesis Res&Dev Sem,Seminar,Friday,1-4PM,to be determined,Professor Kulper,3.00,Full Term
 660,6,Architecture & Urban Planning,19521,Architecture,Thesis Res&Dev Sem,Seminar,Friday,830-1130AM,to be determined,Professor Kutil,3.00,Full Term
 660,7,Architecture & Urban Planning,19522,Architecture,Thesis Res&Dev Sem,Seminar,Friday,830-1130AM,to be determined,Professor Nazmeeva,3.00,Full Term
 660,8,Architecture & Urban Planning,19798,Architecture,Thesis Res&Dev Sem,Seminar,Friday,1-4PM,1360 A&AB,Professor Singh,3.00,Full Term
 660,9,Architecture & Urban Planning,22730,Architecture,Thesis Res&Dev Sem,Seminar,Friday,1-4PM,2213 A&AB,Professor Morcillo Pallares,3.00,Full Term
 660,11,Architecture & Urban Planning,32080,Architecture,Thesis Res&Dev Sem,Seminar,Friday,830-1130AM,to be determined,Professor Mankouche,3.00,Full Term
 660,12,Architecture & Urban Planning,32159,Architecture,Thesis Res&Dev Sem,Seminar,Friday,1-4PM,2210 A&AB,Professor Ng,3.00,Full Term
 672,1,Architecture & Urban Planning,10046,Architecture,Arch Design VII,Lab,"Monday, Thursday",1-6PM,3100 A&AB,"Professor Graebner, Professor Hansen",6.00,Full Term
 672,6,Architecture & Urban Planning,32523,Architecture,Arch Design VII,Lab,"Monday, Thursday",1-6PM,3100 A&AB,not available,6.00,Full Term
 672,7,Architecture & Urban Planning,32524,Architecture,Arch Design VII,Lab,"Monday, Thursday",1-6PM,3100 A&AB,not available,6.00,Full Term
 690,1,Architecture & Urban Planning,16501,Architecture,Arc Curr Pract Exper,Individual Instruction,not available,unknown,to be determined,not available,1.00,Full Term
 690,106,Architecture & Urban Planning,37567,Architecture,Arc Curr Pract Exper,Individual Instruction,not available,unknown,to be determined,Professor Clutter,1.00,Full Term
 690,112,Architecture & Urban Planning,37566,Architecture,Arc Curr Pract Exper,Individual Instruction,not available,unknown,to be determined,Professor Jazairy,1.00,Full Term
 700,1,Architecture & Urban Planning,35867,Architecture,MS Practicum,Seminar,"Monday, Thursday",1-6PM,3100 A&AB,"Professor Newell, Professor Meier",6.00,Full Term
 701,1,Architecture & Urban Planning,22070,Architecture,Theories in Dig Tech,Seminar,Wednesday,830-1130AM,2213 A&AB,Professor del Campo,3.00,Full Term
 703,1,Architecture & Urban Planning,28494,Architecture,Virtual Engagement,Seminar,Thursday,9-12PM,2213 A&AB,Professor Wilcox,3.00,Full Term
 710,1,Architecture & Urban Planning,10051,Architecture,Tutorial Studies,Individual Instruction,not available,unknown,to be determined,not available,1.00-3.00,Full Term
 719,1,Architecture & Urban Planning,10052,Architecture,MS Supervised Resear,Individual Instruction,not available,unknown,to be determined,not available,1.00-3.00,Full Term
 801,1,Architecture & Urban Planning,21351,Architecture,Collo Ethics Doc Res,Seminar,Tuesday,2-4PM,to be determined,Professor Knoblauch,1.00,Full Term
 810,1,Architecture & Urban Planning,10053,Architecture,Tutorial Studies,Individual Instruction,not available,unknown,to be determined,not available,1.00-6.00,Full Term
 819,1,Architecture & Urban Planning,10054,Architecture,Supervised Research,Individual Instruction,not available,unknown,to be determined,not available,1.00-6.00,Full Term
 823,1,Architecture & Urban Planning,38603,Architecture,Sem Arch Hist&Thry,Seminar,Monday,830-1130AM,to be determined,Professor Wilkins,3.00,Full Term
 823,2,Architecture & Urban Planning,38604,Architecture,Sem Arch Hist&Thry,Seminar,Monday,830-1130AM,to be determined,Professor Griffiths,3.00,Full Term
 823,3,Architecture & Urban Planning,38722,Architecture,Sem Arch Hist&Thry,Seminar,Wednesday,1-4PM,to be determined,Professor Herscher,3.00,Full Term
 823,4,Architecture & Urban Planning,38723,Architecture,Sem Arch Hist&Thry,Seminar,Thursday,830-1130AM,to be determined,Professor Stanek,3.00,Full Term
 823,5,Architecture & Urban Planning,38729,Architecture,Sem Arch Hist&Thry,Seminar,Wednesday,1-4PM,2227 A&AB,Professor Chabanyuk,3.00,Full Term
 823,6,Architecture & Urban Planning,38730,Architecture,Sem Arch Hist&Thry,Seminar,Tuesday,3-6PM,2213 A&AB,Professor Herscher,3.00,Full Term
 824,1,Architecture & Urban Planning,24845,Architecture,Sem Design Studies,Seminar,Wednesday,630-930PM,2204 A&AB,Professor Groat,3.00,Full Term
 824,2,Architecture & Urban Planning,31987,Architecture,Sem Design Studies,Seminar,Tuesday,1-4PM,2227 A&AB,Professor Groat,3.00,Full Term
 825,1,Architecture & Urban Planning,26094,Architecture,Sem Bldg Technology,Seminar,Wednesday,830-1130AM,2227 A&AB,Professor Navvab,3.00,Full Term
 825,2,Architecture & Urban Planning,31991,Architecture,Sem Bldg Technology,Seminar,Monday,830-1130AM,2227 A&AB,Professor Navvab,3.00,Full Term
 839,1,Architecture & Urban Planning,10055,Architecture,Research Practicum,Individual Instruction,not available,unknown,to be determined,not available,1.00-4.00,Full Term
 990,1,Architecture & Urban Planning,15724,Architecture,Diss-Precand,Individual Instruction,not available,unknown,to be determined,not available,1.00-8.00,Full Term
 990,7,Architecture & Urban Planning,38358,Architecture,Diss-Precand,Individual Instruction,not available,unknown,to be determined,Professor Fishman,1.00-8.00,Full Term
 990,11,Architecture & Urban Planning,38357,Architecture,Diss-Precand,Individual Instruction,not available,unknown,to be determined,Professor Knoblauch,1.00-8.00,Full Term
 990,48,Architecture & Urban Planning,38356,Architecture,Diss-Precand,Individual Instruction,not available,unknown,to be determined,Professor Aghaei Meibodi,1.00-8.00,Full Term
 993,1,Architecture & Urban Planning,10056,Architecture,Teach Meth GSI,Seminar,not available,unknown,to be determined,"Professor Clutter, Professor Goodspeed",1.00,Full Term
 995,1,Architecture & Urban Planning,10057,Architecture,Diss-Cand,Individual Instruction,not available,unknown,to be determined,not available,8.00,Full Term
 995,7,Architecture & Urban Planning,38330,Architecture,Diss-Cand,Individual Instruction,not available,unknown,to be determined,Professor Fishman,8.00,Full Term
 995,11,Architecture & Urban Planning,38340,Architecture,Diss-Cand,Individual Instruction,not available,unknown,to be determined,Professor Knoblauch,8.00,Full Term
 995,16,Architecture & Urban Planning,38329,Architecture,Diss-Cand,Individual Instruction,not available,unknown,to be determined,Professor Morcillo Pallares,8.00,Full Term
 995,23,Architecture & Urban Planning,38334,Architecture,Diss-Cand,Individual Instruction,not available,unknown,to be determined,Professor Navvab,8.00,Full Term
 995,24,Architecture & Urban Planning,38335,Architecture,Diss-Cand,Individual Instruction,not available,unknown,to be determined,Professor Groat,8.00,Full Term
 995,31,Architecture & Urban Planning,38336,Architecture,Diss-Cand,Individual Instruction,not available,unknown,to be determined,Professor McMorrough,8.00,Full Term
 995,33,Architecture & Urban Planning,38337,Architecture,Diss-Cand,Individual Instruction,not available,unknown,to be determined,Professor von Buelow,8.00,Full Term
 995,37,Architecture & Urban Planning,38338,Architecture,Diss-Cand,Individual Instruction,not available,unknown,to be determined,Professor Herscher,8.00,Full Term
 995,44,Architecture & Urban Planning,38339,Architecture,Diss-Cand,Individual Instruction,not available,unknown,to be determined,Professor Zimmerman,8.00,Full Term
 995,48,Architecture & Urban Planning,38333,Architecture,Diss-Cand,Individual Instruction,not available,unknown,to be determined,Professor Aghaei Meibodi,8.00,Full Term
 995,51,Architecture & Urban Planning,38331,Architecture,Diss-Cand,Individual Instruction,not available,unknown,to be determined,Professor Junghans,8.00,Full Term
 995,109,Architecture & Urban Planning,38332,Architecture,Diss-Cand,Individual Instruction,not available,unknown,to be determined,Professor Ahlquist,8.00,Full Term
 712,1,Architecture & Urban Planning,24762,Urban Design,UD Studio I,Lab,"Monday, Thursday",1-6PM,3100 A&AB,not available,6.00,Full Term
